         31394 function calls (31360 primitive calls) in 99.534 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   64.911   64.911   97.513   97.513 Primitives.py:75(__call__)
       77   22.914    0.298   22.914    0.298 {method 'reduce' of 'numpy.ufunc' objects}
        1    7.307    7.307    7.307    7.307 {method 'sort' of 'numpy.ndarray' objects}
        1    1.718    1.718    1.718    1.718 {built-in method osgeo._gdal_array.BandRasterIONumPy}
        1    0.894    0.894    0.894    0.894 {rasterio._features._rasterize}
        1    0.723    0.723    8.605    8.605 arraysetops.py:112(unique)
        1    0.236    0.236    0.236    0.236 {method 'flatten' of 'numpy.ndarray' objects}
        4    0.222    0.055    0.222    0.055 {built-in method numpy.core.multiarray.concatenate}
        1    0.166    0.166    0.166    0.166 {method 'fill' of 'numpy.ndarray' objects}
        1    0.117    0.117    0.117    0.117 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.071    0.071    0.123    0.123 IO.py:167(__call__)
        4    0.068    0.017   99.528   24.882 Primitive.py:48(run_primitive)
        1    0.051    0.051    0.051    0.051 {built-in method _gdal.Open}
        1    0.048    0.048    0.048    0.048 {method 'start' of 'fiona.ogrext.Session' objects}
        1    0.044    0.044    1.823    1.823 IO.py:201(__call__)
     2240    0.011    0.000    0.017    0.000 iostream.py:180(schedule)
     2186    0.004    0.000    0.023    0.000 iostream.py:342(write)
        1    0.004    0.004    0.004    0.004 {built-in method _gdal.Band_GetNoDataValue}
       12    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        1    0.003    0.003    0.003    0.003 {built-in method numpy.core.multiarray.zeros}
      331    0.002    0.000    0.028    0.000 {built-in method builtins.print}
     2240    0.002    0.000    0.004    0.000 threading.py:1104(is_alive)
       50    0.001    0.000   22.915    0.458 fromnumeric.py:1710(sum)
     2241    0.001    0.000    0.001    0.000 {built-in method nt.urandom}
     2240    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     2186    0.001    0.000    0.001    0.000 iostream.py:284(_is_master_process)
     2240    0.001    0.000    0.002    0.000 threading.py:1062(_wait_for_tstate_lock)
        2    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.empty}
     2329    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     2240    0.001    0.000    0.001    0.000 iostream.py:87(_event_pipe)
  260/254    0.001    0.000    0.003    0.000 arrayprint.py:340(array2string)
        1    0.001    0.001    0.001    0.001 {method 'start' of 'rasterio._env.GDALEnv' objects}
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       49    0.001    0.000    0.001    0.000 collection.py:180(driver)
        9    0.001    0.000    0.001    0.000 arrayprint.py:557(fillFormat)
     2186    0.000    0.000    0.001    0.000 iostream.py:297(_schedule_flush)
     2240    0.000    0.000    0.000    0.000 threading.py:506(is_set)
     2186    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 {built-in method _gdal.AllRegister}
      106    0.000    0.000    0.000    0.000 arrayprint.py:665(__call__)
  258/256    0.000    0.000    0.002    0.000 numeric.py:1927(array_str)
      654    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       50    0.000    0.000   22.914    0.458 _methods.py:31(_sum)
        1    0.000    0.000    0.000    0.000 Primitives.py:57(__call__)
        9    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      110    0.000    0.000    0.000    0.000 arrayprint.py:642(_digits)
        1    0.000    0.000    0.000    0.000 {method 'stop' of 'fiona.ogrext.Session' objects}
        3    0.000    0.000    0.000    0.000 arrayprint.py:475(_formatArray)
        1    0.000    0.000    0.000    0.000 {method '__enter__' of 'fiona._drivers.GDALEnv' objects}
        1    0.000    0.000    1.060    1.060 features.py:150(rasterize)
      107    0.000    0.000    0.000    0.000 arrayprint.py:467(_extendLine)
