Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..t-1-8bd4678f3c1d>:62 testit_forest  1      0.000000  101.7812  101.7812
..ives\Primitive.py:48 run_primitive  4      0.078125  101.7812  25.44531
..:2851 ZMQInteractiveShell.run_code  2/1    0.000000  101.7812  50.89062
..d4678f3c1d>:55 zonalaverage_forest  1      0.000000  101.7812  101.7812
..n-input-3-1a8edea1bee8>:8 <module>  1      0.000000  101.7812  101.7812
..:34 PartialSumRasterizePrim.__gt__  1      0.000000  99.87500  99.87500
..5 PartialSumRasterizePrim.__call__  1      66.68750  99.79688  99.79688
..ges\numpy\core\_methods.py:31 _sum  50     0.000000  23.48438  0.469687
..numpy\core\fromnumeric.py:1710 sum  50     0.000000  23.48438  0.469687
..umpy\lib\arraysetops.py:112 unique  1      0.671875  8.515625  8.515625
..itive.py:39 GeotiffReadPrim.__lt__  1      0.000000  1.812500  1.812500
..IO.py:201 GeotiffReadPrim.__call__  1      0.078125  1.812500  1.812500
..\gdal_array.py:310 BandReadAsArray  1      0.000000  1.718750  1.718750
..sgeo\gdal.py:2520 Band.ReadAsArray  1      0.000000  1.718750  1.718750
..dal_array.py:141 BandRasterIONumPy  1      0.000000  1.718750  1.718750
..rasterio\features.py:150 rasterize  1      0.000000  1.062500  1.062500
..ckages\rasterio\env.py:272 wrapper  1      0.000000  1.062500  1.062500
..y\core\fromnumeric.py:1471 nonzero  1      0.000000  0.125000  0.125000
..y\core\fromnumeric.py:55 _wrapfunc  1      0.000000  0.125000  0.125000
..:167 ShapefileNewReadPrim.__call__  1      0.093750  0.093750  0.093750
...py:29 ShapefileNewReadPrim.__eq__  1      0.000000  0.093750  0.093750
..tloop\ioloop.py:117 ZMQPoller.poll  198..  0.000000  0.093750  0.000047
..\stack_context.py:273 null_wrapper  386..  0.000000  0.093750  0.000024
..s\zmq\sugar\poll.py:77 Poller.poll  198..  0.078125  0.078125  0.000039
..stream.py:180 IOPubThread.schedule  2295   0.046875  0.062500  0.000027
..client\session.py:639 Session.send  54     0.000000  0.046875  0.000868
..am.py:427 ZMQStream._handle_events  1905   0.000000  0.046875  0.000025
..l\iostream.py:325 OutStream._flush  54     0.000000  0.046875  0.000868
..oop.py:599 ZMQIOLoop._run_callback  54     0.000000  0.046875  0.000868
..el\iostream.py:342 OutStream.write  2186   0.000000  0.031250  0.000014
...py:194 IOPubThread.send_multipart  54     0.000000  0.031250  0.000579
..ream.py:456 ZMQStream._handle_recv  1905   0.000000  0.031250  0.000016
..e-packages\osgeo\gdal.py:3009 Open  1      0.000000  0.015625  0.015625
..:1062 Thread._wait_for_tstate_lock  2295   0.000000  0.015625  0.000007
..\threading.py:1104 Thread.is_alive  2295   0.000000  0.015625  0.000007
..eventloop\ioloop.py:123 <listcomp>  1988   0.000000  0.015625  0.000008
..\encoder.py:182 JSONEncoder.encode  216    0.000000  0.015625  0.000072
..da3\lib\json\__init__.py:183 dumps  216    0.000000  0.015625  0.000072
..oder.py:204 JSONEncoder.iterencode  216    0.000000  0.015625  0.000072
..rnado\ioloop.py:913 ZMQIOLoop.time  3759   0.000000  0.015625  0.000004
..ter_client\session.py:102 <lambda>  216    0.000000  0.015625  0.000072
..ipykernel\iostream.py:352 <lambda>  1796   0.015625  0.015625  0.000009
..t\session.py:580 Session.serialize  54     0.000000  0.015625  0.000289
..m.py:101 IOPubThread._handle_event  1905   0.000000  0.015625  0.000008
..py:501 ZMQStream._rebuild_io_state  1905   0.015625  0.015625  0.000008
..eam.py:407 ZMQStream._run_callback  1905   0.000000  0.015625  0.000008
..entloop\ioloop.py:96 _remap_events  1905   0.015625  0.015625  0.000008
..ocket.py:370 Socket.recv_multipart  1905   0.015625  0.015625  0.000008
..client\jsonutil.py:87 date_default  108    0.015625  0.015625  0.000145
..ages\zmq\utils\jsonapi.py:31 dumps  216    0.000000  0.015625  0.000072
..nal>:743 SourceFileLoader.get_code  2      0.000000  0.000000  0.000000
..p>:297 _installed_safely.__enter__  4      0.000000  0.000000  0.000000
..es\osgeo\gdal_array.py:11 <module>  1      0.000000  0.000000  0.000000
..naconda3\lib\imp.py:108 <listcomp>  1      0.000000  0.000000  0.000000
..s\osgeo\gdal.py:2205 Band.<lambda>  1      0.000000  0.000000  0.000000
..mpy\core\numeric.py:534 asanyarray  13     0.000000  0.000000  0.000000
..\numpy\core\numeric.py:2792 geterr  18     0.000000  0.000000  0.000000
..ollection.py:383 Collection.bounds  1      0.000000  0.000000  0.000000
..mportlib._bootstrap>:698 find_spec  3      0.000000  0.000000  0.000000
..lection.py:420 Collection.__exit__  1      0.000000  0.000000  0.000000
..sgeo\gdal.py:1796 Dataset.<lambda>  1      0.000000  0.000000  0.000000
..mpy\core\numeric.py:1927 array_str  258..  0.000000  0.000000  0.000000
..ection.py:417 Collection.__enter__  1      0.000000  0.000000  0.000000
..portlib._bootstrap>:861 _find_spec  3      0.000000  0.000000  0.000000
..ackages\rasterio\env.py:219 defenv  1      0.000000  0.000000  0.000000
.._bootstrap_external>:59 <listcomp>  11     0.000000  0.000000  0.000000
..\gdal.py:1484 Band.GetMetadataItem  1      0.000000  0.000000  0.000000
..ollection.py:223 Collection.filter  1      0.000000  0.000000  0.000000
..es\numpy\core\_methods.py:28 _amin  1      0.000000  0.000000  0.000000
..ine\__init__.py:250 Affine.__str__  1      0.000000  0.000000  0.000000
..py\core\numeric.py:1854 array_repr  2      0.000000  0.000000  0.000000
..strap>:931 _find_and_load_unlocked  3/1    0.000000  0.000000  0.000000
..nt.py:751 TimedeltaFormat.__init__  3      0.000000  0.000000  0.000000
..\osgeo\gdal_array.py:194 flip_code  2      0.000000  0.000000  0.000000
..s\fiona\collection.py:486 vsi_path  1      0.000000  0.000000  0.000000
..rap>:197 _call_with_frames_removed  8/1    0.000000  0.000000  0.000000
..sgeo\gdal.py:1815 Dataset.<lambda>  1      0.000000  0.000000  0.000000
..itives\Primitives.py:104 <genexpr>  50     0.000000  0.000000  0.000000
..da3\lib\ntpath.py:33 _get_bothseps  1      0.000000  0.000000  0.000000
..init__.py:1542 Logger.isEnabledFor  23     0.000000  0.000000  0.000000
..ine\__init__.py:261 Affine.to_gdal  1      0.000000  0.000000  0.000000
..xternal>:1080 _path_importer_cache  3      0.000000  0.000000  0.000000
..:218 GDALTypeCodeToNumericTypeCode  1      0.000000  0.000000  0.000000
..collection.py:398 Collection.close  2      0.000000  0.000000  0.000000
..rint.py:557 FloatFormat.fillFormat  9      0.000000  0.000000  0.000000
.._bootstrap_external>:57 _path_join  11     0.000000  0.000000  0.000000
..b._bootstrap>:159 _get_module_lock  4      0.000000  0.000000  0.000000
..ives\IO.py:248 GeotiffReadPrim.reg  1      0.000000  0.000000  0.000000
..>:672 SourceFileLoader.exec_module  2/1    0.000000  0.000000  0.000000
..b._bootstrap>:989 _handle_fromlist  19/11  0.000000  0.000000  0.000000
..nt.py:674 LongFloatFormat.__init__  9      0.000000  0.000000  0.000000
..nda3\lib\uuid.py:106 UUID.__init__  1      0.000000  0.000000  0.000000
...py:702 LongComplexFormat.__init__  3      0.000000  0.000000  0.000000
..ine\__init__.py:374 Affine.__mul__  1      0.000000  0.000000  0.000000
..core\arrayprint.py:467 _extendLine  107    0.000000  0.000000  0.000000
..ap_external>:263 cache_from_source  4      0.000000  0.000000  0.000000
..lib._bootstrap>:958 _find_and_load  3/1    0.000000  0.000000  0.000000
..ges\osgeo\gdal.py:2925 AllRegister  1      0.000000  0.000000  0.000000
..um\Anaconda3\lib\ntpath.py:74 join  4      0.000000  0.000000  0.000000
..es\rasterio\env.py:90 Env.__init__  1      0.000000  0.000000  0.000000
..ZMQInteractiveShell.user_global_ns  2      0.000000  0.000000  0.000000
..rio\dtypes.py:88 get_minimum_dtype  1      0.000000  0.000000  0.000000
..>:908 ExtensionFileLoader.__init__  2      0.000000  0.000000  0.000000
..nal>:800 SourceFileLoader.__init__  2      0.000000  0.000000  0.000000
..p>:838 _ImportLockContext.__exit__  9      0.000000  0.000000  0.000000
..onda3\lib\genericpath.py:16 exists  1      0.000000  0.000000  0.000000
..>:146 _ModuleLockManager.__enter__  4      0.000000  0.000000  0.000000
..b._bootstrap>:208 _verbose_message  19     0.000000  0.000000  0.000000
..\numeric.py:3094 errstate.__exit__  9      0.000000  0.000000  0.000000
..xternal>:1233 FileFinder.find_spec  3      0.000000  0.000000  0.000000
..o\gdal.py:2264 Band.GetNoDataValue  1      0.000000  0.000000  0.000000
..mportlib._bootstrap>:307 <genexpr>  16     0.000000  0.000000  0.000000
..b\threading.py:1230 current_thread  6      0.000000  0.000000  0.000000
..\numeric.py:3085 errstate.__init__  9      0.000000  0.000000  0.000000

..ges\numpy\core\_methods.py:37 _any  7      0.000000  0.000000  0.000000
..p>:142 _ModuleLockManager.__init__  4      0.000000  0.000000  0.000000
..op.py:132 CachingCompiler.__call__  2      0.000000  0.000000  0.000000
..ipstruct.py:125 Struct.__getattr__  2      0.000000  0.000000  0.000000
..onda3\lib\ntpath.py:121 splitdrive  9      0.000000  0.000000  0.000000
..aconda3\lib\imp.py:219 load_module  1      0.000000  0.000000  0.000000
..y:23 ShapefileNewReadPrim.__repr__  6      0.000000  0.000000  0.000000
..:213 NumericTypeCodeToGDALTypeCode  1      0.000000  0.000000  0.000000
.._bootstrap>:493 _init_module_attrs  4      0.000000  0.000000  0.000000
..ootstrap_external>:361 _get_cached  3      0.000000  0.000000  0.000000
..rint.py:652 IntegerFormat.__init__  3      0.000000  0.000000  0.000000
..39 CommandChainDispatcher.__call__  2      0.000000  0.000000  0.000000
..llection.py:32 Collection.__init__  1      0.000000  0.000000  0.000000
..es\osgeo\gdalnumeric.py:1 <module>  2/1    0.000000  0.000000  0.000000
..\numpy\core\numeric.py:2692 seterr  18     0.000000  0.000000  0.000000
..yprint.py:543 FloatFormat.__init__  9      0.000000  0.000000  0.000000
..bootstrap_external>:63 _path_split  4      0.000000  0.000000  0.000000
..\osgeo\gdal_array.py:94 VirtualMem  1      0.000000  0.000000  0.000000
..est\bobs\Bob.py:11 Vector.__init__  4      0.000000  0.000000  0.000000
..terio\dtypes.py:165 validate_dtype  1      0.000000  0.000000  0.000000
..\core\arrayprint.py:589 <listcomp>  4      0.000000  0.000000  0.000000
..strap>:410 ModuleSpec.has_location  4      0.000000  0.000000  0.000000
..en importlib._bootstrap>:664 _load  1      0.000000  0.000000  0.000000
..st\bobs\Bobs.py:23 Raster.__init__  1      0.000000  0.000000  0.000000
..\numpy\core\numeric.py:463 asarray  2      0.000000  0.000000  0.000000
..s_abc.py:664 _Environ.__contains__  4      0.000000  0.000000  0.000000
