Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..3265407900>:55 zonalaverage_forest  1      0.000000  12.07448  12.07448
..n-input-2-54448db58f43>:8 <module>  1      0.000000  12.07448  12.07448
..e.py:270 MultiprocessingEngine.run  5      0.000000  12.07448  2.414895
..t-1-303265407900>:63 testit_forest  1      0.000000  12.07448  12.07448
..:2851 ZMQInteractiveShell.run_code  2/1    0.000000  12.07448  6.037239
..IO.py:208 GeotiffReadPrim.__call__  1      0.156001  8.252453  8.252453
..itive.py:40 GeotiffReadPrim.__lt__  1      0.000000  8.252453  8.252453
..sgeo\gdal.py:2520 Band.ReadAsArray  1      0.000000  8.096452  8.096452
..dal_array.py:141 BandRasterIONumPy  1      0.000000  8.080852  8.080852
..\gdal_array.py:310 BandReadAsArray  1      0.000000  8.080852  8.080852
..:34 PartialSumRasterizePrim.__gt__  1      0.000000  3.759624  3.759624
..y:744 AutoProxy[Queue]._callmethod  7      0.000000  3.744024  0.534861
..nection.py:202 PipeConnection.send  23     0.187201  3.744024  0.162784
..essing\managers.py:457 BaseManager  5      0.000000  3.744024  0.748805
..tiprocessing\reduction.py:48 dumps  25     0.187201  3.010819  0.120433
...py:279 PipeConnection._send_bytes  55     0.000000  0.546003  0.009927
..:166 ShapefileNewReadPrim.__call__  1      0.046800  0.062400  0.062400
...py:29 ShapefileNewReadPrim.__eq__  2      0.000000  0.062400  0.031200
..lib._bootstrap>:641 _load_unlocked  10/6   0.000000  0.015600  0.001560
..ntext.py:48 DefaultContext.Manager  1      0.000000  0.015600  0.015600
..nal>:743 SourceFileLoader.get_code  8      0.000000  0.015600  0.001950
..>:672 SourceFileLoader.exec_module  8/6    0.000000  0.015600  0.001950
..tiprocessing\context.py:319 _Popen  5      0.000000  0.015600  0.003120
..es\osgeo\gdalnumeric.py:1 <module>  4      0.000000  0.015600  0.003900
..\managers.py:493 SyncManager.start  1      0.000000  0.015600  0.015600
..ltiprocessing\reduction.py:58 dump  10     0.000000  0.015600  0.001560
..rocessing\synchronize.py:185 RLock  6      0.000000  0.015600  0.002600
..rap>:197 _call_with_frames_removed  15/6   0.000000  0.015600  0.001040
..strap>:931 _find_and_load_unlocked  9/6    0.000000  0.015600  0.001733
..b._bootstrap>:989 _handle_fromlist  58/46  0.000000  0.015600  0.000269
..g\process.py:95 SpawnProcess.start  5      0.000000  0.015600  0.003120
..ap_external>:485 _compile_bytecode  8      0.000000  0.015600  0.001950
..ncodings\cp1252.py:14 Codec.decode  833    0.000000  0.015600  0.000019
..lib._bootstrap>:958 _find_and_load  9/6    0.000000  0.015600  0.001733
..ng\popen_spawn_win32.py:1 <module>  1      0.000000  0.000000  0.000000
..g\process.py:137 _MainProcess.name  6      0.000000  0.000000  0.000000
..cessing\synchronize.py:11 <module>  21     0.000000  0.000000  0.000000
..ocessing\managers.py:938 Namespace  4/3    0.000000  0.000000  0.000000
<string>:1 <module>                   49     0.000000  0.000000  0.000000
..rocessing\pool.py:144 Pool.Process  4      0.000000  0.000000  0.000000
..55 WeakValueDictionary.__setitem__  5      0.000000  0.000000  0.000000
..y:233 _args_from_interpreter_flags  5      0.000000  0.000000  0.000000
..processing\pool.py:581 ApplyResult  1      0.000000  0.000000  0.000000
..ollection.py:180 Collection.driver  49     0.000000  0.000000  0.000000
..connection.py:729 answer_challenge  10     0.000000  0.000000  0.000000
..g\process.py:115 SpawnProcess.join  5      0.000000  0.000000  0.000000
.._init__.py:809 NullHandler.release  2      0.000000  0.000000  0.000000
..llection.py:423 Collection.__del__  1      0.000000  0.000000  0.000000
..\lib\threading.py:1024 Thread.join  6      0.000000  0.000000  0.000000
..\fiona\__init__.py:239 parse_paths  1      0.000000  0.000000  0.000000
..dal_array.py:13 swig_import_helper  1      0.000000  0.000000  0.000000
..xt.py:186 SpawnContext.get_context  4      0.000000  0.000000  0.000000
..da3\lib\ntpath.py:33 _get_bothseps  3      0.000000  0.000000  0.000000
..__init__.py:1399 Logger.makeRecord  1      0.000000  0.000000  0.000000
..tiprocessing\managers.py:438 State  1      0.000000  0.000000  0.000000
..ion.py:158 PipeConnection.readable  34     0.000000  0.000000  0.000000
..ib\threading.py:498 Event.__init__  4      0.000000  0.000000  0.000000
..p>:838 _ImportLockContext.__exit__  36     0.000000  0.000000  0.000000
..ocess.py:172 SpawnProcess.exitcode  736    0.000000  0.000000  0.000000
..essing\managers.py:1023 EventProxy  1      0.000000  0.000000  0.000000
..y:285 OutStream._is_master_process  464    0.000000  0.000000  0.000000
..a3\lib\threading.py:533 Event.wait  5/4    0.000000  0.000000  0.000000
..ng\reduction.py:199 _reduce_method  1      0.000000  0.000000  0.000000
..est\bobs\Bob.py:11 Vector.__init__  6      0.000000  0.000000  0.000000
..b\multiprocessing\util.py:48 debug  33     0.000000  0.000000  0.000000
..mportlib._bootstrap>:698 find_spec  9      0.000000  0.000000  0.000000
..nchronize.py:101 Lock.__getstate__  8      0.000000  0.000000  0.000000
..669 SourceFileLoader.create_module  8      0.000000  0.000000  0.000000
..ction.py:168 PipeConnection.fileno  18     0.000000  0.000000  0.000000
..en importlib._bootstrap>:664 _load  1      0.000000  0.000000  0.000000
..portlib._bootstrap>:35 _new_module  8      0.000000  0.000000  0.000000
.._bootstrap_external>:75 _path_stat  26     0.000000  0.000000  0.000000
..y:335 ForkAwareThreadLock.__exit__  2      0.000000  0.000000  0.000000
..o\gdal.py:2264 Band.GetNoDataValue  1      0.000000  0.000000  0.000000
..\context.py:346 get_spawning_popen  47     0.000000  0.000000  0.000000
..essing\pool.py:525 _terminate_pool  1      0.000000  0.000000  0.000000
..IO.py:190 ShapefileNewReadPrim.reg  1      0.000000  0.000000  0.000000
..aconda3\lib\queue.py:115 Queue.put  2      0.000000  0.000000  0.000000
..essing\pool.py:591 MapResult.ready  1      0.000000  0.000000  0.000000
..sgeo\gdal.py:1815 Dataset.<lambda>  1      0.000000  0.000000  0.000000
..nuum\Anaconda3\lib\hmac.py:133 new  20     0.000000  0.000000  0.000000
..nda3\lib\threading.py:727 _newname  3      0.000000  0.000000  0.000000
..ltiprocessing\pool.py:255 Pool.map  1      0.000000  0.000000  0.000000
..ives\IO.py:256 GeotiffReadPrim.reg  1      0.000000  0.000000  0.000000
..n.py:208 PipeConnection.recv_bytes  30     0.000000  0.000000  0.000000
..process.py:153 SpawnProcess.daemon  4      0.000000  0.000000  0.000000
..al.py:1842 Dataset.GetGeoTransform  1      0.000000  0.000000  0.000000
..lib\os.py:664 _Environ.__getitem__  3      0.000000  0.000000  0.000000
..nda3\lib\hmac.py:108 HMAC._current  22     0.000000  0.000000  0.000000
.._bootstrap>:493 _init_module_attrs  10     0.000000  0.000000  0.000000
..ng\managers.py:677 ProcessLocalSet  2      0.000000  0.000000  0.000000
..ib\multiprocessing\util.py:52 info  1      0.000000  0.000000  0.000000
..\osgeo\gdal_array.py:94 VirtualMem  2      0.000000  0.000000  0.000000
..mportlib._bootstrap>:307 <genexpr>  40     0.000000  0.000000  0.000000
..rocessing\synchronize.py:333 Event  26     0.000000  0.000000  0.000000
..naconda3\lib\imp.py:107 <listcomp>  1      0.000000  0.000000  0.000000
..g\synchronize.py:162 Lock.__init__  2      0.000000  0.000000  0.000000
..llection.py:32 Collection.__init__  1      0.000000  0.000000  0.000000
..portlib._bootstrap>:861 _find_spec  9      0.000000  0.000000  0.000000
..t\engines\Engine.py:316 <listcomp>  1      0.000000  0.000000  0.000000
..eduction.py:102 DupHandle.__init__  17     0.000000  0.000000  0.000000
..init__.py:1537 Logger.isEnabledFor  5      0.000000  0.000000  0.000000
..._bootstrap>:389 ModuleSpec.cached  17     0.000000  0.000000  0.000000
..st\bobs\Bobs.py:41 Raster.get_data  2      0.000000  0.000000  0.000000
..gging\__init__.py:120 getLevelName  1      0.000000  0.000000  0.000000
..reading.py:1120 _MainThread.daemon  3      0.000000  0.000000  0.000000
